Era,year,area,month,age 1 all,age 1 fems,age 1 trans,age1 fems+trans,age 2 all,age 2 males,per age 2 males (r2),age 3 all,older shrimp,older/first ((1-P)*/P),first/older (P*/(1-P),per primary fem (1-r1),percent age 1,number of males,number of shrimp,ratio of males
2001-2018,2014,26,September,206,12,11,23,91,0,0.00,4,95,0.46,2.17,0.11,0.68,183,301,0.608
2001-2018,2014,28,September,456,53,16,69,226,1,0.00,16,242,0.53,1.88,0.15,0.65,388,698,0.556
2001-2018,2014,30,September,410,10,6,16,249,22,0.09,40,289,0.70,1.42,0.04,0.59,416,699,0.595
2001-2018,2014,18,October,256,27,20,47,125,0,0.00,15,140,0.55,1.83,0.18,0.65,209,396,0.528
2001-2018,2014,21,October,676,109,17,126,116,0,0.00,4,120,0.18,5.63,0.19,0.85,550,796,0.691
2001-2018,2014,22,October,1094,150,39,189,82,0,0.00,17,99,0.09,11.05,0.17,0.92,905,1193,0.759
2001-2018,2014,24,October,155,10,8,18,45,0,0.00,1,46,0.30,3.37,0.12,0.77,137,201,0.682
2001-2018,2014,26,October,65,4,2,6,35,0,0.00,,35,0.54,1.86,0.09,0.65,59,100,0.590
2001-2018,2014,28,October,50,9,6,15,50,0,0.00,,50,1.00,1.00,0.30,0.50,35,100,0.350
2001-2018,2014,30,October,320,12,9,21,265,31,0.12,15,280,0.88,1.14,0.07,0.53,330,600,0.550
2001-2018,2015,18,September,215,23,35,58,129,4,0.03,3,132,0.61,1.63,0.27,0.62,161,347,0.464
2001-2018,2015,19,September,238,17,49,66,491,46,0.09,12,503,2.11,0.47,0.28,0.32,218,741,0.294
2001-2018,2015,22,September,18,,,0,81,16,0.20,1,82,4.56,0.22,0.00,0.18,34,100,0.340
2001-2018,2015,26,September,259,5,4,9,738,311,0.42,2,740,2.86,0.35,0.03,0.26,561,999,0.562
2001-2018,2015,30,September,142,4,4,8,250,55,0.22,2,252,1.77,0.56,0.06,0.36,189,394,0.480
2001-2018,2015,18,October,247,42,24,66,180,3,0.02,14,194,0.79,1.27,0.27,0.56,184,441,0.417
2001-2018,2015,21,October,174,13,13,26,230,27,0.12,1,231,1.33,0.75,0.15,0.43,175,405,0.432
2001-2018,2015,22,October,91,11,13,24,63,17,0.27,,63,0.69,1.44,0.26,0.59,84,154,0.545
2001-2018,2015,30,October,103,2,1,3,79,23,0.29,,79,0.77,1.30,0.03,0.57,123,182,0.676
2001-2018,2016,18,September,289,132,10,142,8,0,0.00,2,10,0.03,28.90,0.49,0.97,147,299,0.492
2001-2018,2016,19,September,380,168,21,189,11,0,0.00,7,18,0.05,21.11,0.50,0.95,191,398,0.480
2001-2018,2016,21,September,1334,718,47,765,41,0,0.00,10,51,0.04,26.16,0.57,0.96,569,1385,0.411
2001-2018,2016,22,September,287,136,17,153,8,0,0.00,4,12,0.04,23.92,0.53,0.96,134,299,0.448
2001-2018,2016,28,September,96,22,11,33,1,0,0.00,1,2,0.02,48.00,0.34,0.98,63,98,0.643
2001-2018,2016,30,September,779,418,36,454,12,0,0.00,1,13,0.02,59.92,0.58,0.98,325,792,0.410
2001-2018,2016,19,October,357,242,7,249,16,0,0.00,23,39,0.11,9.15,0.70,0.90,108,396,0.273
2001-2018,2016,21,October,370,173,12,185,10,0,0.00,4,14,0.04,26.43,0.50,0.96,185,384,0.482
2001-2018,2016,22,October,1966,1085,45,1130,6,0,0.00,20,26,0.01,75.62,0.57,0.99,836,1992,0.420
2001-2018,2017,18,September,90,21,22,43,2,0,0.00,,2,0.02,45.00,0.48,0.98,47,92,0.511
2001-2018,2017,19,September,410,115,62,177,83,0,0.00,1,84,0.20,4.88,0.43,0.83,233,494,0.472
2001-2018,2017,21,September,826,56,123,179,337,0,0.00,7,344,0.42,2.40,0.22,0.71,647,1170,0.553
2001-2018,2017,22,September,883,83,85,168,664,6,0.01,14,678,0.77,1.30,0.19,0.57,721,1561,0.462
2001-2018,2017,19,October,91,56,10,66,7,0,0.00,,7,0.08,13.00,0.73,0.93,25,98,0.255
2001-2018,2017,21,October,747,122,87,209,301,0,0.00,8,309,0.41,2.42,0.28,0.71,538,1056,0.509
2001-2018,2017,22,October,479,67,29,96,202,0,0.00,4,206,0.43,2.33,0.20,0.70,383,685,0.559
2001-2018,2018,18,September,510,78,135,213,73,0,0.00,17,90,0.18,5.67,0.42,0.85,297,600,0.495
2001-2018,2018,19,September,329,112,57,169,60,0,0.00,11,71,0.22,4.63,0.51,0.82,160,400,0.400
2001-2018,2018,20,September,165,75,6,81,32,0,0.00,3,35,0.21,4.71,0.49,0.83,84,200,0.420
2001-2018,2018,21,September,550,173,96,269,43,0,0.00,3,46,0.08,11.96,0.49,0.92,281,596,0.471
2001-2018,2018,22,September,448,154,79,233,38,0,0.00,14,52,0.12,8.62,0.52,0.90,215,500,0.430
2001-2018,2018,24,September,336,122,49,171,59,0,0.00,5,64,0.19,5.25,0.51,0.84,165,400,0.413
2001-2018,2018,18,October,618,195,70,265,79,0,0.00,18,97,0.16,6.37,0.43,0.86,353,715,0.494
2001-2018,2018,19,October,474,188,41,229,56,0,0.00,8,64,0.14,7.41,0.48,0.88,245,538,0.455
2001-2018,2018,20,October,92,32,,32,5,0,0.00,1,6,0.07,15.33,0.35,0.94,60,98,0.612
2001-2018,2018,21,October,264,63,75,138,20,0,0.00,2,22,0.08,12.00,0.52,0.92,126,286,0.441
2001-2018,2018,22,October,435,163,37,200,31,0,0.00,14,45,0.10,9.67,0.46,0.91,235,480,0.490
2001-2018,2018,24,October,166,46,24,70,29,0,0.00,3,32,0.19,5.19,0.42,0.84,96,198,0.485
