ID,year,meanBLT_fml_precond,meanBLT_spwn,maxBLT_fml_precond,maxTLT_spwn,maxTLT_150,meanTLT_150,LS_150,CS_150,maxTLT_150_may,meanTLT_150_may,LS_150_may,CS_150_may,maxTLT_150_june,meanTLT_150_june,LS_150_june,CS_150_june,maxTLT_150_july,meanTLT_150_july,LS_150_july,CS_150_july,maxTLT_150_aug,meanTLT_150_aug,LS_150_aug,CS_150_aug,maxTLT_150_sep,meanTLT_150_sep,LS_150_sep,CS_150_sep,Y
2,1980,,7.456224267947331,,12.533372606014517,16.868654497649473,13.889628117764754,-0.03369314620343903,-0.11439083500759946,13.379937159540074,12.09102645034826,0.01422306074200114,-0.17766235876115138,16.037938848446604,14.377478501792176,0.015267392465038337,-0.08634693434492237,16.868654497649473,15.304489005837484,-0.0826741795282368,-0.10941765564779694,16.741920697761874,13.334808129044973,-0.07066592919075528,-0.125234252910969,16.576730622458598,14.75229158423827,-0.03772795991896646,-0.06684442810517585,1565171000.0
3,1981,7.855563328537948,7.276445147658542,10.548006930314394,13.111617953368102,17.338412350943333,14.310852401944402,-0.020260596744943266,-0.14726850334175057,13.769180356297731,12.461167407026194,-0.00505674065928335,-0.18997869115210209,16.31827598969342,14.784500964388764,-0.012901886168970034,-0.17938747127079624,16.339417275870858,13.928708939462581,-0.05270289467422823,-0.19382064164676602,17.110671168136133,15.082108891015741,-0.045932561329859574,-0.12392726728949569,16.8289624419977,15.176989055003517,0.009941390080976263,-0.05166750127765056,1761808000.0
4,1982,7.65005914528867,7.35642447668782,9.700416633537346,11.268989952732227,17.727175604819028,13.752620789048535,-0.0450577325460661,-0.1298238493980346,12.5486507605119,11.036678526660038,-0.03539644184051769,-0.20015808779216004,14.038923648793885,11.991030781122246,-0.031028902934113714,-0.14417034527406108,16.497783498937107,14.86612106266888,-0.06183216729504002,-0.12150214386317858,17.36144264431914,15.591407566568222,-0.05197266106967684,-0.08944494878758535,17.727175604819028,15.34410496653606,-0.05718136026951287,-0.09569119935197758,193948000.0
5,1983,9.038797446250733,8.109224756552829,10.713583301432843,12.943132056545991,18.881845262121974,15.04672459026377,-0.02736938615401244,-0.10018255556767784,14.33806805181434,12.481226975877,-0.012856492622079864,-0.10575546864627516,16.226882462681154,14.269017839969155,-0.0174083488361545,-0.10106499658071631,17.679961940468615,16.196539899109048,-0.007234432259699597,-0.09395451343150919,18.881845262121974,16.625890543422805,-0.038370912703762514,-0.08484638316390289,17.898652405029683,15.312737877462187,-0.06844103551220802,-0.11312538818736495,833744000.0
6,1984,8.114047148774375,6.857156380010035,11.39220861268008,12.366959499563976,18.233530595630494,14.351096008936183,-0.01978678180856517,-0.13525181049097304,13.228039857406296,11.991724705306329,0.028866303688376196,-0.12225888665453619,15.215938788715755,13.356225168674667,-0.016829017206936227,-0.1624395990707499,15.815728245937178,14.189966424474871,-0.06711046646442476,-0.1522980368024219,18.233530595630494,16.24969240289858,-0.010582411241157547,-0.10938799203753641,17.734843493695696,15.984115614444717,-0.024410671984919044,-0.12176571130121905,1751649000.0
7,1985,7.450298563362885,6.712923335925643,8.784049998597446,10.50084270698026,16.529609386488122,13.59538998125252,-0.03285503896328479,-0.11259901768670622,13.261292769594505,11.72580844464118,0.015262876339581538,-0.1456270547072291,14.907654318956485,13.028335318690475,-0.03736516347044776,-0.14577494521832632,16.09332690687502,13.907761435194995,-0.07020819945370155,-0.11753153922288934,16.529609386488122,14.875164570419983,-0.043901018590184686,-0.07530437775745404,15.711967572960113,14.483872449515113,-0.03527471489123162,-0.08887735146012914,2375482000.0
8,1986,7.985674538171005,7.255443584998496,9.810556134386301,11.784354925758365,16.370981351570265,13.311409555543639,-0.03505543545927703,-0.09650886149715489,13.200418498971887,11.86780084185019,0.007700375341353464,-0.08492666471371381,16.242330854724873,13.768013686845164,-0.014589402748726282,-0.09693437132562435,16.02512180800405,14.171026478621283,-0.05041544180812313,-0.13405692292101604,15.960987103941276,12.952288292360608,-0.06690620400040899,-0.07148641294099893,15.348231836212324,13.728007678944959,-0.04432686813677531,-0.08229767346108811,4812050000.0
9,1987,8.192105229253299,7.409211885368034,9.625489798574515,11.773339973702715,15.926978517065676,13.364300969074511,-0.0402995718368984,-0.12112281956768074,13.39588641438283,12.265541821717292,-0.028212324290091725,-0.15635032414823227,14.315730099495244,12.842887999928543,-0.036273424963054794,-0.13649510649130034,15.417814969077108,14.286692771177076,-0.0248681627378258,-0.1182836307731574,15.172183328684447,13.4503714549117,-0.07113150919826214,-0.10804135566628689,15.926978517065676,13.93217685373133,-0.02216862573264884,-0.09357231118734369,5537266000.0
10,1988,8.327938344870306,7.014394858700184,10.210030826736258,11.703811843482818,16.12312686760678,12.863616158639205,-0.03505169499304821,-0.11915035935432157,12.75087095103941,11.650584050704477,0.03940939269099819,-0.08859173414010989,15.185208510252284,13.486579689608135,-0.03617592700425871,-0.12348408192280934,16.12312686760678,13.813722549392315,-0.0657639083488798,-0.17382734946386902,14.948754922102225,12.885603535357918,-0.06617290389326619,-0.11818098572905558,15.013666832174588,12.46332744849902,-0.05615067851481858,-0.08922734778702268,4984512000.0
11,1989,7.4263967121811625,7.032466955425883,8.686962146860278,11.960074523665293,17.549385493366096,14.203331059833515,-0.03801924797764333,-0.09215023237979521,13.669865837389267,12.426463227851526,-0.024154910007298414,-0.11203009657182342,15.365146550389532,13.26425469346194,-0.042816569019453986,-0.10355890010174616,16.95999114212502,15.253322416711109,-0.02995750770528557,-0.11277952142301455,17.549385493366096,15.621600970447986,-0.06532655375380704,-0.1097484957244213,16.406723230574453,14.218838239319592,-0.04656700661351565,-0.0395525947958793,585589000.0
12,1990,7.971551381429394,7.457544808169932,9.663859723611194,11.773069100035588,17.520643963428984,14.419820888764706,-0.02590696612255244,-0.061568487273112905,12.960557198328244,11.550303515895703,-0.004110351434494713,-0.08869171583164176,15.672267927450356,13.880806392100405,-0.024757100618452006,-0.08918556251844773,16.501425056160837,14.913463735783973,-0.0594300191629959,-0.09079580314559262,17.501025365816666,15.3410926732414,-0.00915862423205667,-0.010918854805203064,17.238418301702918,16.381312570984708,-0.03106075614257733,-0.047887487490669546,2264767000.0
13,1991,7.608034747287256,7.079636457048855,8.740782960301468,11.048340429203774,16.56947903243934,13.179914855181343,-0.05272913993977923,-0.09774625813723699,11.618232869266755,10.675861366910196,-0.010881491313374441,-0.13311587664373006,14.35712202274904,12.251206099042768,-0.04224567135364403,-0.12806739037643722,16.39130419049058,13.467838008968727,-0.09085471091160298,-0.09261801145979813,16.38360176268548,14.541676784285984,-0.037510690292141886,-0.04967353613669322,16.56947903243934,14.849162823788408,-0.07545154560900316,-0.07966828181987702,5191631000.0
14,1992,8.31875723943277,8.439318154944196,10.191485535045086,13.967303075365946,17.74852328030575,14.531918221316873,-0.05268106766475774,-0.11296771068142639,14.654142532312555,13.541538241702938,-0.055885936656523354,-0.1652643786671502,16.720440326683384,14.151091030218026,-0.035589146286660156,-0.15736088776280419,17.74852328030575,15.487811186951639,-0.07128906819293114,-0.12400716859605948,16.60650498769174,15.052745838115428,-0.05160724027034374,-0.08564603224662538,15.31206918801784,14.042245759980359,-0.06135338869117163,-0.04419872521497875,526182000.0
15,1993,8.334956505656123,7.588816070071694,10.112553340001963,11.938602771594482,17.346080320617858,14.47600279333261,-0.022640720147100692,-0.05837803412734947,13.837119088736715,12.618386940602747,0.047579078945556436,0.0020990154001354912,16.87828350313505,14.985695352880057,-0.0228119909990738,-0.12122550846731349,16.507712626348713,15.192790157076105,-0.036348649044015253,-0.10899693129677845,17.346080320617858,15.766069604962686,-0.05389062531005991,-0.06410421835879108,16.02851043766291,13.852917555685076,-0.0464891157628937,-0.021227436428928412,1699992548.0
16,1994,8.22284416037821,7.409095570456164,9.501758549408564,12.38959291904988,18.88143679314951,15.006125281234342,-0.024227262869474218,-0.08265953479250517,13.781836698420973,12.791405821079056,0.003147973779440969,-0.09129309275672892,15.848042585601569,14.587681416837853,-0.005859603665203372,-0.11285864156843949,16.502859582774985,13.895395892170345,-0.0544364538198664,-0.09144108591887244,18.88143679314951,17.36692478544578,-0.022811675981770006,-0.060287309661882255,17.95134037209305,16.450732220949547,-0.04178720787614718,-0.0576160462506152,635472370.0
17,1995,8.343015606388004,8.19103600303771,10.201006580401565,12.156410079269195,17.964659948403487,14.7861580609636,-0.027684396858268456,-0.07384146422528466,13.639624534780458,11.861548279661818,-0.045089965417629156,-0.11317520564465368,15.381098534044488,13.443471589795106,-0.005002260987496728,-0.0886223553155535,17.859818908149904,15.882290999650207,-0.04601015650416022,-0.06330687674825251,17.605614289071948,16.2636453146197,-0.022124202398047025,-0.055128379003756466,17.964659948403487,16.623870529761472,-0.018431878519333846,-0.05083386471086485,1592407642.0
