Latitude,Area,Centroid
48.14243323,32,47.65281899
47.16320475,30,46.74035608
46.31750742,29,46.15727003
45.99703264,28,45.84569733
45.69436202,26,45.30489614
44.91543027,24,44.46810089
44.02077151,22,43.56676558
43.11275964,21,42.87462908
42.63649852,20,42.42062315
42.20474777,19,41.99554896
41.78635015,18,41.02967359
40.27299703,12,39.83052729
39.38805755,,
