time,depth,latitude,longitude,sst,ssta
UTC,m,degrees_north,degrees_east,degree_C,degree_C
1987-08-01T00:00:00Z,0.0,40.0,-126.0,14.55643,-1.0269041
1987-08-01T00:00:00Z,0.0,40.0,-124.0,13.236644,-1.1233559
1987-08-01T00:00:00Z,0.0,42.0,-126.0,14.40651,-1.1579065
1987-08-01T00:00:00Z,0.0,42.0,-124.0,13.145455,-1.3860655
1987-08-01T00:00:00Z,0.0,44.0,-126.0,14.713579,-1.173317
1987-08-01T00:00:00Z,0.0,44.0,-124.0,13.77063,-1.4036818
1987-08-01T00:00:00Z,0.0,46.0,-126.0,14.750559,-1.1024818
1987-08-01T00:00:00Z,0.0,46.0,-124.0,14.084467,-1.323761
1987-08-01T00:00:00Z,0.0,48.0,-126.0,14.103626,-1.1273537
1987-08-01T00:00:00Z,0.0,48.0,-124.0,13.640927,-1.3228827
1987-09-01T00:00:00Z,0.0,40.0,-126.0,14.974915,-0.7922106
1987-09-01T00:00:00Z,0.0,40.0,-124.0,13.588777,-0.9553137
1987-09-01T00:00:00Z,0.0,42.0,-126.0,14.574001,-0.9533119
1987-09-01T00:00:00Z,0.0,42.0,-124.0,13.201778,-1.2302427
1987-09-01T00:00:00Z,0.0,44.0,-126.0,14.65419,-1.0137062
1987-09-01T00:00:00Z,0.0,44.0,-124.0,13.546658,-1.2824268
1987-09-01T00:00:00Z,0.0,46.0,-126.0,14.510945,-0.98976326
1987-09-01T00:00:00Z,0.0,46.0,-124.0,13.625825,-1.2387171
1987-09-01T00:00:00Z,0.0,48.0,-126.0,13.615143,-1.0461483
1987-09-01T00:00:00Z,0.0,48.0,-124.0,12.88839,-1.2664642
1987-10-01T00:00:00Z,0.0,40.0,-126.0,15.118554,0.26851273
1987-10-01T00:00:00Z,0.0,40.0,-124.0,13.882639,0.15669441
1987-10-01T00:00:00Z,0.0,42.0,-126.0,14.518529,0.19377995
1987-10-01T00:00:00Z,0.0,42.0,-124.0,13.358446,0.0675087
1987-10-01T00:00:00Z,0.0,44.0,-126.0,14.29038,0.11035919
1987-10-01T00:00:00Z,0.0,44.0,-124.0,13.363895,0.020457268
1987-10-01T00:00:00Z,0.0,46.0,-126.0,13.895794,0.06406498
1987-10-01T00:00:00Z,0.0,46.0,-124.0,13.100081,-0.029856682
1987-10-01T00:00:00Z,0.0,48.0,-126.0,12.868263,-0.015487671
1987-10-01T00:00:00Z,0.0,48.0,-124.0,12.139549,-0.12157631
1987-11-01T00:00:00Z,0.0,40.0,-126.0,14.323391,0.6747236
1987-11-01T00:00:00Z,0.0,40.0,-124.0,13.527192,0.68921185
1987-11-01T00:00:00Z,0.0,42.0,-126.0,13.604554,0.6955328
1987-11-01T00:00:00Z,0.0,42.0,-124.0,12.879038,0.68403816
1987-11-01T00:00:00Z,0.0,44.0,-126.0,13.123229,0.6698122
1987-11-01T00:00:00Z,0.0,44.0,-124.0,12.53317,0.6601496
1987-11-01T00:00:00Z,0.0,46.0,-126.0,12.583736,0.67809105
